number ;name ;year_born;year_death;start_of_reign;end_of_reign ;total_years_of_reign
1;Gorm den gamle ;936;958;936;958;22
2;Harald Blåtand;-;987;958;987;29
3;Svend Tveskæg;-;1014;987;1014;27
4;Harald Svensen;-;1018;1014;1018;4
5;Knud den store;995;1035;1018;1035;17
6;Hardeknud;1020;1042;1035;1042;7
7;Magnus den gode;1024;1047;1042;1047;5
8;Svend Estridsen ;-;1076;1047;1074;27
9;Harald Hén ;-;1080;1074;1080;6
10;Knud den hellige ;-;1086;1080;1086;6
11;Oluf Hunger;-;1095;1086;1095;9
12;Erik Ejegod ;1056;1103;1095;1103;8
13;Niels ;-;1134;1104;1134;30
14;Erik Emmune;-;1137;1134;1137;3
15;Erik Lam ;-;1146;1137;1146;9
16;"Svend Grathe ; Knud Magnussen ;Valdemar den første";-;1157;1146;1157;11
17;Valdemar den første;1131;1182;1157;1182;25
18;Knud Magnussen ;1163;1202;1182;1202;20
19;Valdemar den anden ;1170;1241;1202;1241;39
20;Erik Plovpenning;1216;1250;1241;1250;9
21;Abel;1218;1252;1250;1252;2
22;Christoffer den første;1219;1259;1252;1259;7
23;Erik Klipping;1249;1286;1259;1286;27
24;Erik Menved;1274;1319;1286;1319;33
25;Christoffer den anden ;1276;1332;1320;1326;6
26;Valdemar den tredje ;1315;1364;1326;1330;4
27;Christoffer den anden ;;1332;1330;1332;2
;Interregnum ;;;1332;1340;8
30;Valdemar Atterdag;1320;1375;1340;1375;35
31;Oluf den anden ;1370;1387;1376;1387;11
32;Margrete den første;1353;1412;1387;1412;25
33;Erik af Pommeren ;1382;1459;1412;1439;27
34;Christoffer den tredje af Bayern ;1416;1448;1440;1459;19
35;Christian den første;1426;1481;1459;1481;22
36;Hans;1455;1513;1481;1513;32
37;Christian den anden ;1481;1559;1513;1523;10
38;Frederik den første ;1471;1533;1523;1533;10
;Interregnum ;;;1533;1534;1
39;Christian den tredje;1503;1559;1534;1559;25
40;Frederik den anden ;1534;1588;1559;1588;29
41;Christian den fjerde ;1577;1648;1588;1648;60
42;Frederik den tredje ;1609;1670;1648;1670;22
43;Christian den femte ;1646;1699;1670;1699;29
44;Frederik den fjerde ;1671;1730;1699;1730;31
45;Christian den sjette ;1699;1746;1730;1746;16
46;Frederik den femte ;1723;1766;1746;1766;20
47;Christian den syvende ;1749;1808;1766;1808;42
48;Frederik den sjette ;1768;1839;1808;1839;31
49;Christian den ottende ;1786;1848;1839;1848;9
50;Frederik den syvende ;1808;1863;1848;1863;15
51;Christian den niende ;1818;1906;1863;1906;43
52;Frederik den ottende ;1843;1912;1906;1912;6
53;Christian den tiende ;1870;1947;1912;1947;35
54;Frederik den niende ;1899;1972;1947;1972;25
55;Margrethe den anden ;1940;-;1972;-;-
